Datetime,Energy_kWh
1/1/2021 0:00,4312.224
1/1/2021 1:00,4203.9
1/1/2021 2:00,4136.184
1/1/2021 3:00,4083.264
1/1/2021 4:00,4076.136
1/1/2021 5:00,4109.292
1/1/2021 6:00,4192.668
1/1/2021 7:00,4294.296
1/1/2021 8:00,4336.632
1/1/2021 9:00,4353.372
1/1/2021 10:00,4307.472
1/1/2021 11:00,4270.752
1/1/2021 12:00,4241.16
1/1/2021 13:00,4210.596
1/1/2021 14:00,4182.408
1/1/2021 15:00,4183.596
1/1/2021 16:00,4248.396
1/1/2021 17:00,4451.004
1/1/2021 18:00,4767.876
1/1/2021 19:00,4789.044
1/1/2021 20:00,4782.672
1/1/2021 21:00,4725.108
1/1/2021 22:00,4579.416
1/1/2021 23:00,4337.712
1/2/2021 0:00,4169.664
1/2/2021 1:00,4069.332
1/2/2021 2:00,4013.28
1/2/2021 3:00,4002.804
1/2/2021 4:00,4039.308
1/2/2021 5:00,4131.54
1/2/2021 6:00,4364.064
1/2/2021 7:00,4698.864
1/2/2021 8:00,4861.296
1/2/2021 9:00,4805.028
1/2/2021 10:00,4723.488
1/2/2021 11:00,4616.676
1/2/2021 12:00,4508.46
1/2/2021 13:00,4411.692
1/2/2021 14:00,4345.92
1/2/2021 15:00,4300.236
1/2/2021 16:00,4351.428
1/2/2021 17:00,4559.652
1/2/2021 18:00,4917.996
1/2/2021 19:00,4973.4
1/2/2021 20:00,4944.996
1/2/2021 21:00,4882.572
1/2/2021 22:00,4715.604
1/2/2021 23:00,4490.748
1/3/2021 0:00,4260.708
1/3/2021 1:00,4105.188
1/3/2021 2:00,4053.672
1/3/2021 3:00,4048.38
1/3/2021 4:00,4089.312
1/3/2021 5:00,4207.68
1/3/2021 6:00,4460.724
1/3/2021 7:00,4838.616
1/3/2021 8:00,5014.656
1/3/2021 9:00,4918.536
1/3/2021 10:00,4694.976
1/3/2021 11:00,4510.296
1/3/2021 12:00,4389.552
1/3/2021 13:00,4272.588
1/3/2021 14:00,4180.572
1/3/2021 15:00,4113.936
1/3/2021 16:00,4168.152
1/3/2021 17:00,4382.208
1/3/2021 18:00,4684.284
1/3/2021 19:00,4717.764
1/3/2021 20:00,4677.264
1/3/2021 21:00,4583.52
1/3/2021 22:00,4391.388
1/3/2021 23:00,4126.356
1/4/2021 0:00,3897.504
1/4/2021 1:00,3725.352
1/4/2021 2:00,3658.5
1/4/2021 3:00,3638.412
1/4/2021 4:00,3673.512
1/4/2021 5:00,3774.6
1/4/2021 6:00,3985.2
1/4/2021 7:00,4261.68
1/4/2021 8:00,4454.244
1/4/2021 9:00,4559.868
1/4/2021 10:00,4649.724
1/4/2021 11:00,4729.212
1/4/2021 12:00,4757.076
1/4/2021 13:00,4721.112
1/4/2021 14:00,4708.26
1/4/2021 15:00,4657.284
1/4/2021 16:00,4634.496
1/4/2021 17:00,4733.748
1/4/2021 18:00,5017.248
1/4/2021 19:00,5020.272
1/4/2021 20:00,4956.768
1/4/2021 21:00,4900.716
1/4/2021 22:00,4761.936
1/4/2021 23:00,4563.756
1/5/2021 0:00,4387.392
1/5/2021 1:00,4284.036
1/5/2021 2:00,4241.16
1/5/2021 3:00,4238.892
1/5/2021 4:00,4271.184
